ID,SMILES,ExperimentResult
187,<industrial-confidential>,0
188,<industrial-confidential>,0
189,<industrial-confidential>,0
190,<industrial-confidential>,2
191,<industrial-confidential>,2
192,<industrial-confidential>,2
193,<industrial-confidential>,2
194,<industrial-confidential>,2
195,<industrial-confidential>,2
196,<industrial-confidential>,0
198,<industrial-confidential>,0
199,<industrial-confidential>,0
203,<industrial-confidential>,0
204,<industrial-confidential>,0
206,<industrial-confidential>,0
209,<industrial-confidential>,0
211,<industrial-confidential>,0
213,<industrial-confidential>,0
215,<industrial-confidential>,0
216,<industrial-confidential>,2
217,<industrial-confidential>,2
218,<industrial-confidential>,2
219,<industrial-confidential>,0
220,<industrial-confidential>,0
221,<industrial-confidential>,1
222,<industrial-confidential>,1
223,<industrial-confidential>,1
224,<industrial-confidential>,1
225,<industrial-confidential>,1
227,<industrial-confidential>,2
231,<industrial-confidential>,2
234,<industrial-confidential>,2
235,<industrial-confidential>,1
236,<industrial-confidential>,1
237,<industrial-confidential>,1
238,<industrial-confidential>,1
239,<industrial-confidential>,1
240,<industrial-confidential>,1
241,<industrial-confidential>,1
242,<industrial-confidential>,0
244,<industrial-confidential>,0
246,<industrial-confidential>,2
248,<industrial-confidential>,2
249,<industrial-confidential>,2
251,<industrial-confidential>,0
256,<industrial-confidential>,0
260,<industrial-confidential>,2
267,<industrial-confidential>,0
275,<industrial-confidential>,0
277,<industrial-confidential>,2
278,<industrial-confidential>,0
281,<industrial-confidential>,0
282,<industrial-confidential>,2
283,<industrial-confidential>,2
284,<industrial-confidential>,2
285,<industrial-confidential>,2
286,<industrial-confidential>,1
287,<industrial-confidential>,1
288,<industrial-confidential>,0
289,<industrial-confidential>,0
290,<industrial-confidential>,0
291,<industrial-confidential>,0
293,<industrial-confidential>,0
296,<industrial-confidential>,0
297,<industrial-confidential>,0
298,<industrial-confidential>,0
299,<industrial-confidential>,0
303,<industrial-confidential>,0
305,<industrial-confidential>,0
307,<industrial-confidential>,0
308,<industrial-confidential>,0
309,<industrial-confidential>,0
312,<industrial-confidential>,2
318,<industrial-confidential>,0
322,<industrial-confidential>,2
324,<industrial-confidential>,2
325,<industrial-confidential>,1
326,<industrial-confidential>,2
327,<industrial-confidential>,1
328,<industrial-confidential>,2
329,<industrial-confidential>,2
333,<industrial-confidential>,1
339,<industrial-confidential>,1
344,<industrial-confidential>,2
345,<industrial-confidential>,0
349,<industrial-confidential>,2
356,<industrial-confidential>,2
357,<industrial-confidential>,1
360,<industrial-confidential>,0
363,<industrial-confidential>,0
366,<industrial-confidential>,0
369,<industrial-confidential>,0
372,<industrial-confidential>,2
373,<industrial-confidential>,2
374,<industrial-confidential>,2
378,<industrial-confidential>,1
380,<industrial-confidential>,0
381,<industrial-confidential>,0
382,<industrial-confidential>,0
384,<industrial-confidential>,0
385,<industrial-confidential>,2
390,<industrial-confidential>,0
398,<industrial-confidential>,2
400,<industrial-confidential>,1
403,<industrial-confidential>,0
407,<industrial-confidential>,2
409,<industrial-confidential>,0
413,<industrial-confidential>,0
417,<industrial-confidential>,0
421,<industrial-confidential>,0
425,<industrial-confidential>,0
428,<industrial-confidential>,0
432,<industrial-confidential>,0
434,<industrial-confidential>,2
435,<industrial-confidential>,2
436,<industrial-confidential>,2
437,<industrial-confidential>,2
439,<industrial-confidential>,0
440,<industrial-confidential>,0
446,<industrial-confidential>,0
448,<industrial-confidential>,0
