Model,Descriptor,Fold,Accuracy,Precision,Recall,F1,Params
Random Forest,MACCS,4,0.7321428571428571,0.7385487528344672,0.7321428571428571,0.7253132832080201,"{""clf__max_depth"": 10, ""clf__n_estimators"": 200}"
Random Forest,MACCS,5,0.5636363636363636,0.5589898989898989,0.5636363636363636,0.549509076781804,"{""clf__max_depth"": 5, ""clf__n_estimators"": 100}"
kNN,MACCS,1,0.5714285714285714,0.6027017625231911,0.5714285714285714,0.5768695356930651,"{""clf__n_neighbors"": 3}"
kNN,MACCS,2,0.5535714285714286,0.5602100840336135,0.5535714285714286,0.5558035714285714,"{""clf__n_neighbors"": 5}"
kNN,MACCS,3,0.5178571428571429,0.5220135467980296,0.5178571428571429,0.5071803196803196,"{""clf__n_neighbors"": 7}"
kNN,MACCS,4,0.5178571428571429,0.5140796703296704,0.5178571428571429,0.5089635854341736,"{""clf__n_neighbors"": 3}"
kNN,MACCS,5,0.5272727272727272,0.5276094276094275,0.5272727272727272,0.5227257867990133,"{""clf__n_neighbors"": 3}"
MLP,MACCS,1,0.7321428571428571,0.7350966702470461,0.7321428571428571,0.7332621082621082,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [50]}"
MLP,MACCS,2,0.6428571428571429,0.6514880952380953,0.6428571428571429,0.6419626884743164,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [50, 50]}"
MLP,MACCS,3,0.5357142857142857,0.5418367346938775,0.5357142857142857,0.5106016810895162,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [50]}"
MLP,MACCS,4,0.6607142857142857,0.6624216300940439,0.6607142857142857,0.6511297852474323,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [100]}"
MLP,MACCS,5,0.6181818181818182,0.6161010101010101,0.6181818181818182,0.615230377685025,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [50]}"
