Descriptor,Importance
AATS4se,0.0006970940625049796
ETA_dEpsilon_B,0.0006953261574711023
AETA_eta_RL,0.0006952352402125959
MATS8v,0.000694415119735897
VSA_EState2,0.0006940896559580713
ATS0p,0.0006933827482945646
GATS3i,0.000692271062459923
VR1_A,0.0006890411450021584
AATSC7p,0.0006852047518221187
VR1_Dzp,0.0006846111203415225
VE3_Dzi,0.0006845642353701273
MPC3,0.0006831567151420618
ATSC2v,0.0006815800091705257
SdssC,0.0006799029477160214
AATSC1dv,0.0006794985286084328
CIC4,0.0006786268027534031
MINssCH2,0.0006784523897141364
ATS3v,0.0006781209105507882
AATS3Z,0.0006771271265452898
Mse,0.0006769423368501988
GATS7are,0.0006761112111727041
AATS6se,0.0006751083669161906
ATSC6d,0.0006738188277168578
n6Ring,0.0006729555349215519
GATS7p,0.0006722962670636448
AATS6d,0.0006720367465649794
nBondsO,0.0006712422037172955
AATSC3s,0.0006709111370291145
GGI6,0.00067068957323156
AATSC0i,0.0006701811848877519
SdsCH,0.0006693010914437055
SlogP_VSA8,0.0006686620265711411
ATSC8m,0.0006676805845462902
SpMAD_Dzpe,0.0006667007273936842
VE1_Dzv,0.0006647894495159407
GATS5are,0.0006624467285363322
AATS3m,0.0006622240168342443
AETA_eta_L,0.0006621407422298595
AATS6pe,0.000661191260455125
PEOE_VSA8,0.0006609183556219
AETA_eta_B,0.0006585973121208726
ATS1d,0.0006585777426138582
ATSC5se,0.0006579557988967577
ATS2m,0.0006541182969674653
ATS5dv,0.0006539479132704738
VSA_EState3,0.0006530056823296207
AATS0p,0.0006527361592815106
SMR_VSA4,0.0006527324161812849
MAXsCH3,0.0006524294437497266
GATS2se,0.0006499854235107707
AXp-3dv,0.0006467768538765297
AATS0dv,0.0006464729743776608
ATS2Z,0.0006459642602957627
AATS7se,0.0006455364997190814
AATSC7c,0.0006449601840734909
ATS6s,0.0006437413524274129
AETA_beta,0.0006425986919346495
Xpc-4dv,0.0006422806846201556
Xc-5d,0.0006408060584582974
AATSC3i,0.0006401407995309048
Xp-3d,0.0006385957015811541
PEOE_VSA11,0.0006383707069095377
MINssssC,0.0006366917969030492
AATS3dv,0.0006359462495602062
ATSC6Z,0.0006358253208554176
LogEE_Dzpe,0.0006357062303386712
GATS2dv,0.0006324115254445408
AATSC7Z,0.0006318607909287492
MWC10,0.0006315329483351391
LogEE_D,0.0006310918528553585
BCUTdv-1h,0.0006306527638220842
MATS5are,0.0006292410642358029
SRW10,0.0006258203746141908
SM1_Dzv,0.0006257799245153793
ATS5i,0.0006247954927835524
AATS7Z,0.000623961225058178
ATS5v,0.0006227188120877434
GATS7Z,0.000622692408111498
AXp-3d,0.0006198502763038651
AATSC8d,0.0006197297301322216
C3SP3,0.0006194756273313287
TopoShapeIndex,0.0006192714749228539
ATS1Z,0.000617085795742435
ATSC6pe,0.0006170759277945204
ATS6se,0.0006170044760907762
SIC1,0.0006169682095946284
AATSC1d,0.000615991738891105
ATS8pe,0.0006130947844966314
SMR_VSA3,0.0006122528805561195
AATSC3d,0.0006120995356709672
AATSC4pe,0.0006115551556169842
ATS6m,0.0006114444728753479
AATS6dv,0.0006085610861019213
AATSC7m,0.0006079352866167401
MATS5pe,0.0006061255577555261
AATS6Z,0.0006060490247772038
C1SP2,0.0006051232793028244
SZ,0.0006049657252922918
ETA_psi_1,0.0006037771237617343
ATS5s,0.0006033507088190906
ATSC6m,0.0006017813957274736
SpAbs_Dzi,0.0006015123805955357
IC0,0.0006006017869059372
VAdjMat,0.0005972953850040485
MATS2i,0.0005970843976556344
AATSC2dv,0.0005961645564804214
nHetero,0.0005961270548200733
MATS4pe,0.0005951904627698488
MPC6,0.0005951047701269234
SMR_VSA9,0.0005948663278992807
BCUTm-1l,0.0005935241868765396
ATSC5d,0.0005931545049313979
AETA_dBeta,0.0005918074512894247
ATSC8v,0.0005907366305906414
SpDiam_A,0.0005899834678881324
MATS2s,0.0005898128404906391
AATS5p,0.0005865045010238617
AATS2m,0.0005786547417927668
EState_VSA8,0.0005784357960924296
nHRing,0.0005777347003864353
BCUTi-1l,0.0005775908674119002
AATSC3pe,0.0005765800343379851
GATS4d,0.0005762709516856171
VSA_EState1,0.0005756244370790622
nBr,0.0005726350414997386
ATS4dv,0.0005709712868048429
AATSC0d,0.0005695638565542131
ATS5se,0.0005692099419155218
AATSC8dv,0.0005691158253319901
GATS3c,0.0005681653847885635
ETA_dAlpha_B,0.0005670729858405458
AATSC3dv,0.0005666645044731639
MIC1,0.0005653327418493182
SpAD_D,0.0005638404423156613
AATS6are,0.0005632299091401232
SsCH3,0.000562290474934237
SpAD_Dzp,0.0005612403706033152
AATSC6v,0.0005609685028299083
ATS5pe,0.0005609383991020493
VR2_A,0.0005585022102542648
GATS5p,0.0005578737560572687
AATSC6i,0.000557740865350109
AATSC6Z,0.0005572132559859669
SpMax_A,0.0005569165605721898
ETA_dEpsilon_A,0.0005551731532953268
MINsssN,0.0005545915291514984
MATS7p,0.000552584266644104
AATS8pe,0.0005517240639952392
SIC3,0.0005513518080086546
ATS3i,0.0005511086438768365
C1SP3,0.0005497106517155521
ATS7dv,0.0005494525369339677
