Model,Descriptor,Fold,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Best_Params
kNN,Morgan,4,0.5,0.5474474474474474,0.5,0.4821505376344086,"{""n_neighbors"": 3}"
kNN,Morgan,5,0.45,0.43097222222222226,0.45,0.371654373024236,"{""n_neighbors"": 3}"
MLP,Morgan,1,0.4666666666666667,0.4515338393421885,0.4666666666666667,0.4541907653749758,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}"
MLP,Morgan,2,0.55,0.5465027915632755,0.55,0.5418311168311168,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}"
MLP,Morgan,3,0.55,0.5612859362859363,0.55,0.551936715766503,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}"
MLP,Morgan,4,0.48333333333333334,0.48205827505827503,0.48333333333333334,0.4801743927090828,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}"
MLP,Morgan,5,0.5,0.5116666666666666,0.5,0.46620557804768326,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100]}"
Logistic Regression,Avalon,1,0.5166666666666667,0.5110482654600301,0.5166666666666667,0.4988989820661472,"{""C"": 1}"
Logistic Regression,Avalon,2,0.5833333333333334,0.5765993265993267,0.5833333333333334,0.5682927766885787,"{""C"": 0.01}"
Logistic Regression,Avalon,3,0.6166666666666667,0.640016339869281,0.6166666666666667,0.6134373289545703,"{""C"": 0.1}"
Logistic Regression,Avalon,4,0.5,0.5,0.5,0.5,"{""C"": 10}"
Logistic Regression,Avalon,5,0.6166666666666667,0.6284188034188034,0.6166666666666667,0.6026018099547511,"{""C"": 0.1}"
SVM,Avalon,1,0.5166666666666667,0.509375,0.5166666666666667,0.5031578947368421,"{""C"": 10, ""gamma"": ""scale""}"
SVM,Avalon,2,0.6,0.6143962848297214,0.6,0.5860969868173257,"{""C"": 10, ""gamma"": ""scale""}"
SVM,Avalon,3,0.6,0.6196296296296296,0.6,0.5943947525342874,"{""C"": 10, ""gamma"": ""scale""}"
SVM,Avalon,4,0.6,0.5965617715617716,0.6,0.5980476600631639,"{""C"": 10, ""gamma"": ""scale""}"
SVM,Avalon,5,0.6,0.614561403508772,0.6,0.5773689273689274,"{""C"": 10, ""gamma"": ""scale""}"
Random Forest,Avalon,1,0.5,0.48393939393939384,0.5,0.4829796640141468,"{""max_depth"": 10, ""n_estimators"": 100}"
Random Forest,Avalon,2,0.6166666666666667,0.6266081871345028,0.6166666666666667,0.5950000000000001,"{""max_depth"": 10, ""n_estimators"": 100}"
Random Forest,Avalon,3,0.6,0.6007575757575758,0.6,0.5917510976021615,"{""max_depth"": 10, ""n_estimators"": 100}"
Random Forest,Avalon,4,0.5833333333333334,0.5595238095238095,0.5833333333333334,0.5644330093386697,"{""max_depth"": null, ""n_estimators"": 200}"
Random Forest,Avalon,5,0.6,0.5939024390243902,0.6,0.5493265993265993,"{""max_depth"": 10, ""n_estimators"": 200}"
